date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:57:17	25206/25206	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202020%2017:57:17%20GMT	https://foray-template.webflow.io/	C:/My%20Web%20Sites/Foray/foray-template.webflow.io/index.html	(from )
09:57:17	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Thu,%2016%20Jan%202020%2017:57:17%20GMT	https://foray-template.webflow.io/robots.txt		(from )
09:57:18	135588/135588	---M-Z	200	added ('OK')	text/css	etag:%22bf852f4181c4b5e8b0052a988053b265%22	https://assets.website-files.com/5db0fae6ca38713498151c5a/css/foray-template.webflow.f4e5de0b4.css	C:/My%20Web%20Sites/Foray/assets.website-files.com/5db0fae6ca38713498151c5a/css/foray-template.webflow.f4e5de0b4.css	(from https://foray-template.webflow.io/)
09:57:18	13188/13188	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/Foray/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://foray-template.webflow.io/)
09:57:19	302/302	---M--	200	added ('OK')	image/png	etag:%22703dd7c68e41c69bb60cfab41ec61427%22	https://assets.website-files.com/5db0fae6ca38713498151c5a/5ddc911f4b38b7838465483d_favicon.png	C:/My%20Web%20Sites/Foray/assets.website-files.com/5db0fae6ca38713498151c5a/5ddc911f4b38b7838465483d_favicon.png	(from https://foray-template.webflow.io/)
09:57:19	1014/1014	---M--	200	added ('OK')	image/png	etag:%22448b9f5c1edfea090ef75a494f8c282e%22	https://assets.website-files.com/5db0fae6ca38713498151c5a/5ddc9123e0447d214075d867_favicon-256.png	C:/My%20Web%20Sites/Foray/assets.website-files.com/5db0fae6ca38713498151c5a/5ddc9123e0447d214075d867_favicon-256.png	(from https://foray-template.webflow.io/)
09:57:19	17963/17963	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202020%2017:57:19%20GMT	https://foray-template.webflow.io/blocks/forms	C:/My%20Web%20Sites/Foray/foray-template.webflow.io/blocks/forms.html	(from https://foray-template.webflow.io/)
09:57:19	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Thu,%2016%20Jan%202020%2017:57:19%20GMT	https://foray-template.webflow.io/blocks/cta	C:/My%20Web%20Sites/Foray/foray-template.webflow.io/blocks/cta	(from https://foray-template.webflow.io/)
09:57:19	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Thu,%2016%20Jan%202020%2017:57:19%20GMT	https://foray-template.webflow.io/blocks/footers	C:/My%20Web%20Sites/Foray/foray-template.webflow.io/blocks/footers	(from https://foray-template.webflow.io/)
09:57:20	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Thu,%2016%20Jan%202020%2017:57:20%20GMT	https://foray-template.webflow.io/blocks/gallery	C:/My%20Web%20Sites/Foray/foray-template.webflow.io/blocks/gallery	(from https://foray-template.webflow.io/)
09:57:20	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Thu,%2016%20Jan%202020%2017:57:20%20GMT	https://foray-template.webflow.io/blocks/heros	C:/My%20Web%20Sites/Foray/foray-template.webflow.io/blocks/heros	(from https://foray-template.webflow.io/)
09:57:20	22107/22107	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202020%2017:57:20%20GMT	https://foray-template.webflow.io/blocks/lists	C:/My%20Web%20Sites/Foray/foray-template.webflow.io/blocks/lists.html	(from https://foray-template.webflow.io/)
09:57:20	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Thu,%2016%20Jan%202020%2017:57:20%20GMT	https://foray-template.webflow.io/blocks/metrics	C:/My%20Web%20Sites/Foray/foray-template.webflow.io/blocks/metrics	(from https://foray-template.webflow.io/)
09:57:20	23282/23282	---M-Z	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202020%2017:57:21%20GMT	https://foray-template.webflow.io/blocks/navigation-bars	C:/My%20Web%20Sites/Foray/foray-template.webflow.io/blocks/navigation-bars.html	(from https://foray-template.webflow.io/)
09:57:21	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Thu,%2016%20Jan%202020%2017:57:21%20GMT	https://foray-template.webflow.io/blocks/quotes	C:/My%20Web%20Sites/Foray/foray-template.webflow.io/blocks/quotes	(from https://foray-template.webflow.io/)
09:57:21	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Thu,%2016%20Jan%202020%2017:57:21%20GMT	https://foray-template.webflow.io/blocks/tabs	C:/My%20Web%20Sites/Foray/foray-template.webflow.io/blocks/tabs	(from https://foray-template.webflow.io/)
09:57:21	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Thu,%2016%20Jan%202020%2017:57:21%20GMT	https://foray-template.webflow.io/blocks/text	C:/My%20Web%20Sites/Foray/foray-template.webflow.io/blocks/text	(from https://foray-template.webflow.io/)
